player_id,player_name,games_played,recent_minutes_last_5,recent_games_last_5,avg_minutes_per_game_last_5,times_unavailable_last_10,max_consecutive_unavailable,total_minutes_last_10,games_started_last_10,workload_trend
32,Emiliano Martínez Romero,15,360,4,72.0,1,1,810,9,stable
33,Marco Bizot,15,90,1,18.0,9,10,90,1,increasing
34,Joe Gauci,15,0,0,0.0,10,15,0,0,stable
35,Filip Marschall,15,0,0,0.0,10,15,0,0,stable
36,Matty Cash,15,446,5,89.2,0,0,889,10,stable
37,Lucas Digne,15,245,4,49.0,1,1,665,7,decreasing
38,Ezri Konsa Ngoyo,15,450,5,90.0,0,1,900,10,stable
39,Ian Maatsen,15,204,3,40.8,3,1,232,2,increasing
40,Tyrone Mings,15,0,0,0.0,8,5,47,0,decreasing
41,Pau Torres,15,445,5,89.0,0,2,846,9,stable
42,Andrés García,15,0,0,0.0,10,15,0,0,stable
43,Álex Moreno Lopera,15,0,0,0.0,10,15,0,0,stable
44,Lamare Bogarde,15,36,5,7.2,3,3,206,2,decreasing
45,Lino da Cruz Sousa,15,0,0,0.0,10,15,0,0,stable
46,Yasin Özcan,15,0,0,0.0,10,15,0,0,stable
47,Morgan Rogers,15,445,5,89.0,0,0,895,10,stable
48,Youri Tielemans,15,286,5,57.2,5,6,286,3,increasing
49,Leon Bailey,15,0,0,0.0,10,15,0,0,stable
50,Emiliano Buendía Stati,15,175,5,35.0,1,1,310,1,stable
51,Samuel Iling-Junior,15,0,0,0.0,10,15,0,0,stable
53,Donyell Malen,15,165,5,33.0,0,0,350,3,stable
54,John McGinn,15,377,5,75.4,0,0,735,9,stable
55,Ross Barkley,15,53,3,10.6,3,6,114,0,stable
56,Enzo Barrenechea,15,0,0,0.0,10,15,0,0,stable
57,Lewis Dobbin,15,0,0,0.0,10,15,0,0,stable
58,Boubacar Kamara,15,416,5,83.2,0,2,794,9,stable
59,Amadou Onana,15,249,4,49.8,2,4,511,6,stable
60,Ben Broggio,15,0,0,0.0,10,15,0,0,stable
61,Leander Dendoncker,15,0,0,0.0,10,15,0,0,stable
62,Jamaldeen Jimoh-Aloba,15,0,0,0.0,10,15,0,0,stable
63,Kadan Young,15,0,0,0.0,10,15,0,0,stable
64,Ollie Watkins,15,333,5,66.6,0,0,677,8,stable
65,Zépiqueno Redmond,15,0,0,0.0,10,15,0,0,stable
389,Harvey Elliott,15,0,0,0.0,9,9,45,0,decreasing
456,Jadon Sancho,15,58,4,11.6,4,4,118,0,stable
677,Evann Guessand,15,89,2,17.8,3,2,328,3,decreasing
688,James Wright,15,0,0,0.0,10,15,0,0,stable
701,Triston Rowe,14,0,0,0.0,10,14,0,0,stable
702,Bradley Burrowes,14,0,0,0.0,10,12,0,0,stable
703,Sam Proctor,14,0,0,0.0,10,14,0,0,stable
710,Travis Patterson,13,0,0,0.0,10,13,0,0,stable
719,Victor Lindelöf,12,4,1,0.8,7,7,18,0,decreasing
754,George Hemmings,4,0,0,0.0,4,4,0,0,insufficient_data
757,Ronnie Hollingshead,2,0,0,0.0,2,2,0,0,insufficient_data
183,Max Weiß,15,0,0,0.0,10,15,0,0,stable
184,Etienne Green,15,0,0,0.0,10,15,0,0,stable
185,Václav Hladký,15,0,0,0.0,10,15,0,0,stable
186,Connor Roberts,15,0,0,0.0,10,15,0,0,stable
187,Kyle Walker,15,450,5,90.0,0,0,900,10,stable
188,Hannes Delcroix,15,0,0,0.0,10,15,0,0,stable
189,Owen Dodgson,15,0,0,0.0,10,15,0,0,stable
190,Hjalmar Ekdal,15,180,2,36.0,6,4,271,3,increasing
191,Maxime Estève,15,450,5,90.0,0,0,900,10,stable
192,Quilindschy Hartman,15,350,4,70.0,1,1,797,9,stable
193,Bashir Humphreys,15,0,0,0.0,9,9,2,0,decreasing
194,Jordan Beyer,15,0,0,0.0,10,15,0,0,stable
195,Lucas Pires Silva,15,51,2,10.2,8,10,51,0,increasing
196,Shurandy Sambo,15,0,0,0.0,10,15,0,0,stable
197,Oliver Sonne,15,0,0,0.0,10,12,0,0,stable
198,Axel Tuanzebe,15,270,3,54.0,3,6,630,7,stable
199,Joe Worrall,15,45,1,9.0,8,7,46,0,increasing
200,Jaidon Anthony,15,227,5,45.4,0,0,591,6,decreasing
201,Manuel Benson Hedilazio,15,0,0,0.0,10,15,0,0,stable
202,Jacob Bruun Larsen,15,182,5,36.4,0,2,394,2,stable
203,Enock Agyei,15,0,0,0.0,10,15,0,0,stable
204,Darko Churlinov,15,0,0,0.0,10,15,0,0,stable
205,Josh Cullen,15,430,5,86.0,0,0,859,10,stable
206,Marcus Edwards,15,42,3,8.4,6,8,50,0,increasing
207,Hannibal Mejbri,15,127,4,25.4,2,1,151,0,increasing
208,Luca Koleosho,15,0,0,0.0,10,15,0,0,stable
209,Josh Laurent,15,46,3,9.2,2,1,326,3,decreasing
210,Loum Tchaouna,15,260,4,52.0,2,1,439,4,increasing
211,Aaron Ramsey,15,0,0,0.0,10,15,0,0,stable
212,Oluwaseun Adewumi,15,0,0,0.0,10,15,0,0,stable
213,Jaydon Banel,15,0,0,0.0,10,15,0,0,stable
214,Mike Trésor Ndayishimiye,15,0,0,0.0,10,15,0,0,stable
215,Zian Flemming,15,293,5,58.6,1,2,542,6,stable
216,Zeki Amdouni,15,0,0,0.0,10,15,0,0,stable
217,Lyle Foster,15,227,4,45.4,3,2,387,4,increasing
218,Ashley Barnes,15,0,0,0.0,9,7,7,0,decreasing
219,Michael Obafemi,15,0,0,0.0,10,15,0,0,stable
470,Martin Dúbravka,15,450,5,90.0,0,0,900,10,stable
676,Lesley Ugochukwu,15,280,5,56.0,0,1,545,6,stable
680,Armando Broja,15,140,5,28.0,2,3,195,1,increasing
722,Florentino Ibrain Morris Luís,12,381,5,76.2,0,0,831,10,stable
66,Norberto Murara Neto,15,0,0,0.0,10,15,0,0,stable
67,Đorđe Petrović,15,450,5,90.0,0,0,900,10,stable
68,Will Dennis,15,0,0,0.0,10,15,0,0,stable
69,Callan McKenna,15,0,0,0.0,10,15,0,0,stable
70,Alex Paulsen,15,0,0,0.0,10,15,0,0,stable
71,Illia Zabarnyi,15,0,0,0.0,10,15,0,0,stable
72,Marcos Senesi Barón,15,331,4,66.2,1,1,768,9,stable
73,Adam Smith,15,182,4,36.4,6,7,182,2,increasing
74,Adrien Truffert,15,422,5,84.4,0,0,872,10,stable
75,Matai Akinmboni,15,0,0,0.0,10,15,0,0,stable
76,Owen Bevan,15,0,0,0.0,10,15,0,0,stable
77,James Hill,15,28,1,5.6,7,6,103,1,decreasing
78,Julián Araujo Zúñiga,15,0,0,0.0,10,15,0,0,stable
79,Chris Mepham,15,0,0,0.0,10,15,0,0,stable
80,Julio Soler Barreto,15,20,1,4.0,9,9,20,0,increasing
81,Justin Kluivert,15,223,4,44.6,1,1,482,5,stable
82,Antoine Semenyo,15,360,4,72.0,1,1,810,9,stable
